ชั่วโมงทำงาน,จำนวน,_id,ปี,แหล่งที่มา,เพศ,หน่วยงาน,จังหวัด,ช่วงเวลา,หน่วย
รวมยอด,"126,254",1,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 1,คน
น้อยกว่า 1 ชั่วโมง,"4,659",2,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 1,คน
1 - 9 ชั่วโมง,580,3,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 1,คน
10 - 19 ชั่วโมง,"1,895",4,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 1,คน
20 - 29 ชั่วโมง,"9,451",5,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 1,คน
30 - 34 ชั่วโมง,"4,762",6,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 1,คน
35 - 39 ชั่วโมง,"23,641",7,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 1,คน
40 - 49 ชั่วโมง,"52,484",8,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 1,คน
50 ชั่วโมงขึ้นไป,"28,783",9,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 1,คน
รวมยอด,"92,257",10,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 1,คน
น้อยกว่า 1 ชั่วโมง,779,11,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 1,คน
1 - 9 ชั่วโมง,147,12,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 1,คน
10 - 19 ชั่วโมง,"1,349",13,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 1,คน
20 - 29 ชั่วโมง,"8,147",14,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 1,คน
30 - 34 ชั่วโมง,"5,133",15,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 1,คน
35 - 39 ชั่วโมง,"18,420",16,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 1,คน
40 - 49 ชั่วโมง,"37,412",17,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 1,คน
50 ชั่วโมงขึ้นไป,"20,870",18,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 1,คน
รวมยอด,"129,672",19,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 2,คน
น้อยกว่า 1 ชั่วโมง,"1,489",20,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 2,คน
1 - 9 ชั่วโมง,0,21,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 2,คน
