_id,ปี,เจ้าของข้อมูล,อำเภอ,ตำบล,หน่วย,ผลผลิตเฉลี่ย
1,2560,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,ตลาดหลวง,กิโลกรัม/ไร่,800.0
2,2560,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,บางแก้ว,กิโลกรัม/ไร่,750.0
3,2560,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,ศาลาแดง,กิโลกรัม/ไร่,827.59
4,2560,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,ป่างิ้ว,กิโลกรัม/ไร่,735.57
5,2560,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,บ้านแห,กิโลกรัม/ไร่,752.69
6,2560,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,ตลาดกรวด,กิโลกรัม/ไร่,718.21
7,2560,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,มหาดไทย,กิโลกรัม/ไร่,710.6
8,2560,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,บ้านอิฐ,กิโลกรัม/ไร่,808.82
9,2560,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,หัวไผ่,กิโลกรัม/ไร่,700.0
10,2560,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,จำปาหล่อ,กิโลกรัม/ไร่,784.6
11,2560,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,โพสะ,กิโลกรัม/ไร่,775.27
12,2560,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,บ้านรี,กิโลกรัม/ไร่,393.33
13,2560,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,คลองวัว,กิโลกรัม/ไร่,547.46
14,2560,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,ย่านซื่อ,กิโลกรัม/ไร่,736.5
15,2560,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,จรเข้ร้อง,กิโลกรัม/ไร่,1129.85
16,2560,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ไชยภูมิ,กิโลกรัม/ไร่,210.81
17,2560,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ชัยฤทธิ์,กิโลกรัม/ไร่,4106.58
18,2560,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,เทวราช,กิโลกรัม/ไร่,970.07
19,2560,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ราชสถิตย์,กิโลกรัม/ไร่,876.81
20,2560,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ไชโย,กิโลกรัม/ไร่,566.56
21,2560,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,หลักฟ้า,กิโลกรัม/ไร่,453.54
22,2560,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ชะไว,กิโลกรัม/ไร่,895.24
23,2560,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ตรีณรงค์,กิโลกรัม/ไร่,937.5
24,2560,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,บางปลากด,กิโลกรัม/ไร่,700.0
25,2560,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,ป่าโมก,กิโลกรัม/ไร่,200.0
26,2560,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,สายทอง,กิโลกรัม/ไร่,493.01
