ADM0_PCODE,ADM0_EN,_id,REGION4,ปี,ผู้มีงานทำ,สถานภาพการทำงาน,เพศ,ไตรมาส,ADM0_TH,ADM1_TH
TH,Thailand,1,ภาคตะวันออกเฉียงเหนือ,2566,0,การรวมกลุ่ม,       ชาย                         ,1,ประเทศไทย,นครราชสีมา
TH,Thailand,2,ภาคตะวันออกเฉียงเหนือ,2566,0,การรวมกลุ่ม,       ชาย                         ,1,ประเทศไทย,บุรีรัมย์
TH,Thailand,3,ภาคตะวันออกเฉียงเหนือ,2566,0,การรวมกลุ่ม,       ชาย                         ,1,ประเทศไทย,สุรินทร์
TH,Thailand,4,ภาคตะวันออกเฉียงเหนือ,2566,0,การรวมกลุ่ม,       ชาย                         ,1,ประเทศไทย,ศรีสะเกษ
TH,Thailand,5,ภาคตะวันออกเฉียงเหนือ,2566,19213.28,การรวมกลุ่ม,       ชาย                         ,1,ประเทศไทย,อุบลราชธานี
TH,Thailand,6,ภาคตะวันออกเฉียงเหนือ,2566,0,การรวมกลุ่ม,       ชาย                         ,1,ประเทศไทย,ยโสธร
TH,Thailand,7,ภาคตะวันออกเฉียงเหนือ,2566,401.75,การรวมกลุ่ม,       ชาย                         ,1,ประเทศไทย,ชัยภูมิ
TH,Thailand,8,ภาคตะวันออกเฉียงเหนือ,2566,416.88,การรวมกลุ่ม,       ชาย                         ,1,ประเทศไทย,อำนาจเจริญ
TH,Thailand,9,ภาคตะวันออกเฉียงเหนือ,2566,0,การรวมกลุ่ม,       ชาย                         ,1,ประเทศไทย,บึงกาฬ
TH,Thailand,10,ภาคตะวันออกเฉียงเหนือ,2566,482.7,การรวมกลุ่ม,       ชาย                         ,1,ประเทศไทย,หนองบัวลำภู
TH,Thailand,11,ภาคตะวันออกเฉียงเหนือ,2566,4257.19,การรวมกลุ่ม,       ชาย                         ,1,ประเทศไทย,ขอนแก่น
TH,Thailand,12,ภาคตะวันออกเฉียงเหนือ,2566,0,การรวมกลุ่ม,       ชาย                         ,1,ประเทศไทย,อุดรธานี
TH,Thailand,13,ภาคตะวันออกเฉียงเหนือ,2566,0,การรวมกลุ่ม,       ชาย                         ,1,ประเทศไทย,เลย
TH,Thailand,14,ภาคตะวันออกเฉียงเหนือ,2566,0,การรวมกลุ่ม,       ชาย                         ,1,ประเทศไทย,หนองคาย
TH,Thailand,15,ภาคตะวันออกเฉียงเหนือ,2566,0,การรวมกลุ่ม,       ชาย                         ,1,ประเทศไทย,มหาสารคาม
TH,Thailand,16,ภาคตะวันออกเฉียงเหนือ,2566,249.47,การรวมกลุ่ม,       ชาย                         ,1,ประเทศไทย,ร้อยเอ็ด
TH,Thailand,17,ภาคตะวันออกเฉียงเหนือ,2566,7363.35,การรวมกลุ่ม,       ชาย                         ,1,ประเทศไทย,กาฬสินธุ์
TH,Thailand,18,ภาคตะวันออกเฉียงเหนือ,2566,0,การรวมกลุ่ม,       ชาย                         ,1,ประเทศไทย,สกลนคร
TH,Thailand,19,ภาคตะวันออกเฉียงเหนือ,2566,0,การรวมกลุ่ม,       ชาย                         ,1,ประเทศไทย,นครพนม
